_id,movie_directors,movie_genres,movie_rating,movie_stars,movie_writers,name,plot,poster,release_year,reviews_num,titleId,tsne_glyph_x,tsne_glyph_y,signature_zscore_percent_anger,signature_zscore_percent_anticipation,signature_zscore_percent_disgust,signature_zscore_percent_fear,signature_zscore_percent_joy,signature_zscore_percent_sadness,signature_zscore_percent_surprise,signature_zscore_percent_trust,cluster_1,emotion_color,cluster_level2,tsne_glyph_x_level2,tsne_glyph_y_level2,emotion_color_lvl2
617434cf2788418ec824cbc7,Val Guest,Adventure & Horror,4.0,Forrest Tucker & Peter Cushing & Maureen Connell & Richard Wattis & Robert Brown,Nigel Kneale & Val Guest,The Abominable Snowman,nn,nn,1957,83,tt0050095,-42.5896,5.21695,0.411347,0.418693,0.849391,0.79483,0.121346,0.326045,0.620881,0.499082,3,3,4,-12.7437,16.288,7
617434f22788418ec824cbd5,Raoul Walsh,Drama & History & Romance,4.0,Clark Gable & Yvonne De Carlo & Sidney Poitier & Efrem Zimbalist Jr. & Rex Reason,Robert Penn Warren & John Twist & Ivan Goff,Band of Angels,nn,nn,1957,50,tt0050166,-38.445,23.7074,0.808825,0.418078,0.411173,0.720952,0.643111,0.989108,0.151846,0.670863,3,3,7,19.7841,-33.4329,4
617435002788418ec824cbdb,Herbert L. Strock,Horror,3.0,Sandra Harrison & Louise Lewis & Gail Ganley & Jerry Blaine & Heather Ames,Aben Kandel,Blood of Dracula,nn,nn,1957,33,tt0050201,-30.8591,28.0722,0.781154,0.224521,0.86216,0.750636,0.320048,0.325923,0.400011,0.984418,3,3,7,-6.1336,-44.0689,4
617435962788418ec824cc19,Gene Fowler Jr.,Drama & Fantasy & Horror & Sci-Fi,3.0,Michael Landon & Yvonne Lime & Whit Bissell & Charles Willcox & Dawn Richard,Herman Cohen & Aben Kandel & Herman Cohen,I Was a Teenage Werewolf,nn,nn,1957,53,tt0050530,-14.3947,38.4214,0.756266,0.409609,0.632657,0.71777,0.36858,0.548194,0.765435,0.741374,3,3,3,15.7247,-10.4794,8
617435df2788418ec824cc37,Henry Hathaway,Adventure & Drama,4.0,John Wayne & Sophia Loren & Rossano Brazzi & Kurt Kasznar & Sonia Moser,Robert Presnell Jr. & Ben Hecht,Legend of the Lost,nn,nn,1957,51,tt0050629,-34.1604,19.3002,0.540645,0.495,0.909192,0.372057,0.536176,0.785654,0.290381,0.575362,3,3,1,13.2842,-25.4687,2
617435ea2788418ec824cc3b,Mikhail Kalatozov,Drama & Romance & War,5.0,Tatyana Samoylova & Aleksey Batalov & Vasiliy Merkurev & Aleksandr Shvorin & Svetlana Kharitonova,Viktor Rozov & Viktor Rozov,The Cranes Are Flying,nn,nn,1957,75,tt0050634,-9.9161,31.3844,0.424559,0.463672,0.307409,0.840502,0.698284,0.555993,0.785871,0.380068,3,3,4,9.15598,43.6078,7
617436ad2788418ec824cc8b,Alexander Mackendrick,Drama & Film-Noir,5.0,Burt Lancaster & Tony Curtis & Susan Harrison & Martin Milner & Jeff Donnell,Clifford Odets & Ernest Lehman & Ernest Lehman,Sweet Smell of Success,nn,nn,1957,154,tt0051036,-5.0439,37.455,0.747113,0.495403,0.86223,0.399448,0.60231,0.351968,0.599864,0.482752,3,3,2,19.1442,8.30026,5
617437022788418ec824ccad,Edward L. Cahn,Action & Adventure & Fantasy & Horror & Thriller,3.0,Gregg Palmer & Allison Hayes & Autumn Russell & Joel Ashley & Morris Ankrum,George H. Plympton & Bernard Gordon,Zombies of Mora Tau,nn,nn,1957,34,tt0051226,-36.6221,14.7421,0.638152,0.715615,0.732073,0.662303,0.429775,0.587957,0.430184,0.538453,3,3,1,-2.33847,-11.3709,2
617437242788418ec824ccbb,Delmer Daves,Romance & Western,4.0,Alan Ladd & Ernest Borgnine & Katy Jurado & Claire Kelly & Kent Smith,Richard Collins & W.R. Burnett,The Badlanders,nn,nn,1958,36,tt0051393,-40.3663,-1.03028,0.902696,0.349516,0.615577,0.746961,0.198012,0.539593,0.602412,0.32209,3,3,6,-26.9291,3.7727,1
6174374c2788418ec824cccb,Henry King,Drama & Western,4.0,Gregory Peck & Joan Collins & Stephen Boyd & Albert Salmi & Henry Silva,Philip Yordan & Frank O'Rourke,The Bravados,nn,nn,1958,83,tt0051433,-44.9965,39.2089,0.889959,0.397103,0.526135,0.858434,0.190645,0.748569,0.642747,0.584735,3,3,7,-28.0996,-17.9866,4
617437562788418ec824cccf,Budd Boetticher,Drama & Western,4.0,Randolph Scott & Craig Stevens & Barry Kelley & Tol Avery & Peter Whitney,Charles Lang & Jonas Ward & Burt Kennedy,Buchanan Rides Alone,nn,nn,1958,34,tt0051437,-15.7696,42.1109,0.823643,0.359857,0.493963,0.380582,0.693372,0.508039,0.889982,0.919056,3,3,2,27.3799,-11.856,5
617437962788418ec824cce9,Kurt Neumann,Drama & Horror & Sci-Fi,4.0,David Hedison & Patricia Owens & Vincent Price & Herbert Marshall & Kathleen Freeman,James Clavell & George Langelaan,The Fly,nn,nn,1958,135,tt0051622,-19.8172,17.3457,0.421724,0.440687,0.710379,0.637006,0.221489,0.488318,0.757456,0.458788,3,3,4,-15.9186,26.1698,7
617437b82788418ec824ccf7,Phil Karlson,Western,4.0,Van Heflin & Tab Hunter & Kathryn Grant & James Darren & Mickey Shaughnessy,Frank S. Nugent & Ric Hardman,Gunman's Walk,nn,nn,1958,35,tt0051690,3.37716,33.3299,0.67614,0.692595,0.421017,0.77018,0.431438,0.779143,0.373753,0.985589,3,3,7,17.1838,-40.4835,4
617438232788418ec824cd23,Arthur Penn,Western,4.0,Paul Newman & Lita Milan & John Dehner & Hurd Hatfield & James Congdon,Leslie Stevens & Gore Vidal,The Left Handed Gun,nn,nn,1958,50,tt0051849,-79.52,-0.975307,0.83686,0.164077,0.61193,0.700631,0.241315,0.50289,0.826672,0.377332,3,3,6,-32.3405,12.2502,1
6174383c2788418ec824cd2d,William Castle,Horror & Thriller,3.0,William Prince & Jim Backus & Christine White & Jacqueline Scott & Susan Morrow,Robb White & Anthony Boucher,Macabre,nn,nn,1958,34,tt0051885,-71.1726,30.6418,0.34161,0.565001,0.471017,0.795451,0.275378,0.868955,0.85821,0.324262,3,3,5,-32.5617,37.513,6
